,AÑO,MES,DIA,Fecha_Foto,PAX_ESTANCIAS
230,2022.0,11.0,22.0,15-02-2024,1307.2682422998632
231,2022.0,11.0,23.0,15-02-2024,1477.467048807619
232,2022.0,11.0,24.0,15-02-2024,1422.0060124149495
233,2022.0,11.0,25.0,15-02-2024,1605.8988112564723
234,2022.0,11.0,26.0,15-02-2024,1445.4474391595072
235,2022.0,11.0,27.0,15-02-2024,1467.9836706897372
236,2022.0,11.0,28.0,15-02-2024,1445.7895021539389
237,2022.0,11.0,29.0,15-02-2024,1481.6476286888667
238,2022.0,11.0,30.0,15-02-2024,1358.408641811398
239,2022.0,12.0,1.0,15-02-2024,1334.3732833405672
240,2022.0,12.0,2.0,15-02-2024,1301.0381398655509
241,2022.0,12.0,3.0,15-02-2024,1407.1334946337613
242,2022.0,12.0,4.0,15-02-2024,1502.121907469939
243,2022.0,12.0,5.0,15-02-2024,1511.0099974643695
244,2022.0,12.0,6.0,15-02-2024,1435.1124688512311
245,2022.0,12.0,7.0,15-02-2024,1477.0812060683252
246,2022.0,12.0,8.0,15-02-2024,1534.265301560795
247,2022.0,12.0,9.0,15-02-2024,1485.123287262874
248,2022.0,12.0,10.0,15-02-2024,1513.4533264543466
249,2022.0,12.0,11.0,15-02-2024,1339.3713884637095
250,2022.0,12.0,12.0,15-02-2024,1201.4730730745175
251,2022.0,12.0,13.0,15-02-2024,1103.6404617757894
252,2022.0,12.0,14.0,15-02-2024,1111.224144177333
253,2022.0,12.0,15.0,15-02-2024,1135.6205661106674
254,2022.0,12.0,16.0,15-02-2024,1312.8086312257715
255,2022.0,12.0,17.0,15-02-2024,1498.2830679495892
256,2022.0,12.0,18.0,15-02-2024,1218.582297198925
257,2022.0,12.0,19.0,15-02-2024,1321.1260658325104
258,2022.0,12.0,20.0,15-02-2024,1242.6419024926474
259,2022.0,12.0,21.0,15-02-2024,1172.1503078702951
260,2022.0,12.0,22.0,15-02-2024,998.4114507398641
261,2022.0,12.0,23.0,15-02-2024,1049.327677062735
262,2022.0,12.0,24.0,15-02-2024,1142.1103079071547
263,2022.0,12.0,25.0,15-02-2024,1178.281196401744
264,2022.0,12.0,26.0,15-02-2024,1357.2270625703134
265,2022.0,12.0,27.0,15-02-2024,1378.2711420842222
266,2022.0,12.0,28.0,15-02-2024,1465.7061295544117
267,2022.0,12.0,29.0,15-02-2024,1604.3997230216412
268,2022.0,12.0,30.0,15-02-2024,1544.401786161875
269,2022.0,12.0,31.0,15-02-2024,1604.602825273239
270,2023.0,1.0,1.0,15-02-2024,1662.253982021334
271,2023.0,1.0,2.0,15-02-2024,1754.080511931258
272,2023.0,1.0,3.0,15-02-2024,1707.4877968842889
273,2023.0,1.0,4.0,15-02-2024,1624.9869604342691
274,2023.0,1.0,5.0,15-02-2024,1627.2414112688168
275,2023.0,1.0,6.0,15-02-2024,1612.8431425473957
276,2023.0,1.0,7.0,15-02-2024,1314.1852232390638
277,2023.0,1.0,8.0,15-02-2024,1161.9711052269645
278,2023.0,1.0,9.0,15-02-2024,1080.538525376347
279,2023.0,1.0,10.0,15-02-2024,1212.0110218200682
280,2023.0,1.0,11.0,15-02-2024,1239.738285607062
281,2023.0,1.0,12.0,15-02-2024,1179.7653546587937
282,2023.0,1.0,13.0,15-02-2024,1257.2461585536994
283,2023.0,1.0,14.0,15-02-2024,1214.6678438614244
284,2023.0,1.0,15.0,15-02-2024,1197.7572095469777
285,2023.0,1.0,16.0,15-02-2024,1227.8653717517877
286,2023.0,1.0,17.0,15-02-2024,1152.6021733093628
287,2023.0,1.0,18.0,15-02-2024,1190.4008035034599
288,2023.0,1.0,19.0,15-02-2024,1189.6603842383797
289,2023.0,1.0,20.0,15-02-2024,1198.066059906192
290,2023.0,1.0,21.0,15-02-2024,1148.8942272886998
291,2023.0,1.0,22.0,15-02-2024,1191.4437010450977
292,2023.0,1.0,23.0,15-02-2024,1236.160301981695
293,2023.0,1.0,24.0,15-02-2024,1409.4289764142707
294,2023.0,1.0,25.0,15-02-2024,1271.8826528357113
295,2023.0,1.0,26.0,15-02-2024,1344.111487698085
296,2023.0,1.0,27.0,15-02-2024,1320.3278433991516
297,2023.0,1.0,28.0,15-02-2024,1449.291218670036
298,2023.0,1.0,29.0,15-02-2024,1434.3419521672747
299,2023.0,1.0,30.0,15-02-2024,1406.3843562030338
300,2023.0,1.0,31.0,15-02-2024,1385.817475384465
301,2023.0,2.0,1.0,15-02-2024,1320.1739918263013
302,2023.0,2.0,2.0,15-02-2024,1406.0856592674363
303,2023.0,2.0,3.0,15-02-2024,1393.382596368882
304,2023.0,2.0,4.0,15-02-2024,1515.11640289015
305,2023.0,2.0,5.0,15-02-2024,1269.0645086297652
306,2023.0,2.0,6.0,15-02-2024,1400.5192117442652
307,2023.0,2.0,7.0,15-02-2024,1407.542962114717
308,2023.0,2.0,8.0,15-02-2024,1452.5611637809895
309,2023.0,2.0,9.0,15-02-2024,1438.9210315846788
310,2023.0,2.0,10.0,15-02-2024,1497.672957780103
311,2023.0,2.0,11.0,15-02-2024,1596.8949716778625
312,2023.0,2.0,12.0,15-02-2024,1550.7947555480287
313,2023.0,2.0,13.0,15-02-2024,1749.242330506742
314,2023.0,2.0,14.0,15-02-2024,1675.9714178336333
315,2023.0,2.0,15.0,15-02-2024,1714.6375246198095
316,2023.0,2.0,16.0,15-02-2024,1639.7399962353197
317,2023.0,2.0,17.0,15-02-2024,1656.6496275170896
318,2023.0,2.0,18.0,15-02-2024,1642.1861677968177
319,2023.0,2.0,19.0,15-02-2024,1655.571851612608
320,2023.0,2.0,20.0,15-02-2024,1562.4717205971924
321,2023.0,2.0,21.0,15-02-2024,1554.3285278598019
322,2023.0,2.0,22.0,15-02-2024,1474.1938947179042
323,2023.0,2.0,23.0,15-02-2024,1565.3533675065005
324,2023.0,2.0,24.0,15-02-2024,1375.6143043248005
325,2023.0,2.0,25.0,15-02-2024,1262.839737870748
326,2023.0,2.0,26.0,15-02-2024,1142.7643790106888
327,2023.0,2.0,27.0,15-02-2024,1413.7419064476512
328,2023.0,2.0,28.0,15-02-2024,1085.949965062926
329,2023.0,3.0,1.0,15-02-2024,1241.2716646726308
330,2023.0,3.0,2.0,15-02-2024,1463.4937886353166
331,2023.0,3.0,3.0,15-02-2024,1452.2239945407466
332,2023.0,3.0,4.0,15-02-2024,1602.9137369849414
333,2023.0,3.0,5.0,15-02-2024,1556.5307011811074
334,2023.0,3.0,6.0,15-02-2024,1596.4922951383294
335,2023.0,3.0,7.0,15-02-2024,1530.4206458749945
336,2023.0,3.0,8.0,15-02-2024,1543.6262318749027
337,2023.0,3.0,9.0,15-02-2024,1591.823263412882
338,2023.0,3.0,10.0,15-02-2024,1546.7549163822644
339,2023.0,3.0,11.0,15-02-2024,1433.4605438274564
340,2023.0,3.0,12.0,15-02-2024,1381.289340094189
341,2023.0,3.0,13.0,15-02-2024,1390.3668990639658
342,2023.0,3.0,14.0,15-02-2024,1505.4647282188005
343,2023.0,3.0,15.0,15-02-2024,1517.385374649317
344,2023.0,3.0,16.0,15-02-2024,1424.0958613226637
345,2023.0,3.0,17.0,15-02-2024,1492.7605202263765
346,2023.0,3.0,18.0,15-02-2024,1618.9677288597265
347,2023.0,3.0,19.0,15-02-2024,1448.5272945810239
348,2023.0,3.0,20.0,15-02-2024,1425.8435507760066
349,2023.0,3.0,21.0,15-02-2024,1467.6197858852906
350,2023.0,3.0,22.0,15-02-2024,1480.6316551828115
351,2023.0,3.0,23.0,15-02-2024,1395.6351521415731
352,2023.0,3.0,24.0,15-02-2024,1395.618303754628
353,2023.0,3.0,25.0,15-02-2024,1437.378031034924
354,2023.0,3.0,26.0,15-02-2024,1220.5307313297228
355,2023.0,3.0,27.0,15-02-2024,1144.270576904287
356,2023.0,3.0,28.0,15-02-2024,1150.6684558493114
357,2023.0,3.0,29.0,15-02-2024,1056.866708439216
358,2023.0,3.0,30.0,15-02-2024,1085.0561890586598
359,2023.0,3.0,31.0,15-02-2024,923.0448596798552
360,2023.0,4.0,1.0,15-02-2024,1350.02996071831
361,2023.0,4.0,2.0,15-02-2024,1387.0846078287755
362,2023.0,4.0,3.0,15-02-2024,1453.9291198579508
363,2023.0,4.0,4.0,15-02-2024,1564.8342756202014
364,2023.0,4.0,5.0,15-02-2024,1658.671711205189
365,2023.0,4.0,6.0,15-02-2024,1804.7253088529478
366,2023.0,4.0,7.0,15-02-2024,1882.6738029245744
367,2023.0,4.0,8.0,15-02-2024,2000.0
368,2023.0,4.0,9.0,15-02-2024,1958.2331395171066
369,2023.0,4.0,10.0,15-02-2024,1943.6033570039497
370,2023.0,4.0,11.0,15-02-2024,1843.7951986983123
371,2023.0,4.0,12.0,15-02-2024,1791.4469590452368
372,2023.0,4.0,13.0,15-02-2024,1690.4650135128952
373,2023.0,4.0,14.0,15-02-2024,1560.6140385169479
374,2023.0,4.0,15.0,15-02-2024,1463.9465130756398
375,2023.0,4.0,16.0,15-02-2024,1411.5227633803577
376,2023.0,4.0,17.0,15-02-2024,1549.4018853960342
377,2023.0,4.0,18.0,15-02-2024,1443.500401768905
378,2023.0,4.0,19.0,15-02-2024,1326.7916475435266
379,2023.0,4.0,20.0,15-02-2024,1486.4798851127864
380,2023.0,4.0,21.0,15-02-2024,1550.4629388056399
381,2023.0,4.0,22.0,15-02-2024,1419.0078895270638
382,2023.0,4.0,23.0,15-02-2024,1488.9766813243814
383,2023.0,4.0,24.0,15-02-2024,1409.730872688769
384,2023.0,4.0,25.0,15-02-2024,1333.3505683739788
385,2023.0,4.0,26.0,15-02-2024,1407.6066027447741
386,2023.0,4.0,27.0,15-02-2024,1369.8848261084056
387,2023.0,4.0,28.0,15-02-2024,1529.9904269458705
388,2023.0,4.0,29.0,15-02-2024,1652.2245620250999
389,2023.0,4.0,30.0,15-02-2024,1661.7206122838388
390,2023.0,5.0,1.0,15-02-2024,1520.4008770072253
391,2023.0,5.0,2.0,15-02-2024,1480.8737220337762
392,2023.0,5.0,3.0,15-02-2024,1315.4895749466473
393,2023.0,5.0,4.0,15-02-2024,1349.5533642343069
394,2023.0,5.0,5.0,15-02-2024,1364.0492333707764
395,2023.0,5.0,6.0,15-02-2024,1388.8347051435846
396,2023.0,5.0,7.0,15-02-2024,1268.883310840311
397,2023.0,5.0,8.0,15-02-2024,1424.9681749316594
398,2023.0,5.0,9.0,15-02-2024,1385.381765063982
399,2023.0,5.0,10.0,15-02-2024,1360.056942886151
400,2023.0,5.0,11.0,15-02-2024,1398.1685553066543
401,2023.0,5.0,12.0,15-02-2024,1458.1181499699226
402,2023.0,5.0,13.0,15-02-2024,1536.7506322508318
403,2023.0,5.0,14.0,15-02-2024,1403.7327272426787
404,2023.0,5.0,15.0,15-02-2024,1370.2511652196965
405,2023.0,5.0,16.0,15-02-2024,1350.4692462786766
406,2023.0,5.0,17.0,15-02-2024,1297.3882724416285
407,2023.0,5.0,18.0,15-02-2024,1326.6870732018563
408,2023.0,5.0,19.0,15-02-2024,1191.7769339361253
409,2023.0,5.0,20.0,15-02-2024,1233.8241356294523
410,2023.0,5.0,21.0,15-02-2024,1150.7476805549263
411,2023.0,5.0,22.0,15-02-2024,1423.955982059683
412,2023.0,5.0,23.0,15-02-2024,1106.4347150296574
413,2023.0,5.0,24.0,15-02-2024,1021.810889290687
414,2023.0,5.0,25.0,15-02-2024,1085.597929068869
415,2023.0,5.0,26.0,15-02-2024,1214.1794284863054
416,2023.0,5.0,27.0,15-02-2024,1233.050434197916
417,2023.0,5.0,28.0,15-02-2024,1276.088753011452
418,2023.0,5.0,29.0,15-02-2024,1424.280041818372
419,2023.0,5.0,30.0,15-02-2024,1141.7345588661665
420,2023.0,5.0,31.0,15-02-2024,1200.8828837335345
421,2023.0,6.0,1.0,15-02-2024,1448.635272417187
422,2023.0,6.0,2.0,15-02-2024,1304.2196069479212
423,2023.0,6.0,3.0,15-02-2024,1437.101421843351
424,2023.0,6.0,4.0,15-02-2024,1205.9558943482084
425,2023.0,6.0,5.0,15-02-2024,1425.5635426218394
426,2023.0,6.0,6.0,15-02-2024,1275.4606182820858
427,2023.0,6.0,7.0,15-02-2024,1265.387712406786
428,2023.0,6.0,8.0,15-02-2024,1099.886956135347
429,2023.0,6.0,9.0,15-02-2024,962.646561052192
430,2023.0,6.0,10.0,15-02-2024,987.9130728498678
431,2023.0,6.0,11.0,15-02-2024,885.3969411087174
432,2023.0,6.0,12.0,15-02-2024,802.6906025030594
433,2023.0,6.0,13.0,15-02-2024,833.1953244122604
434,2023.0,6.0,14.0,15-02-2024,900.2887707160791
435,2023.0,6.0,15.0,15-02-2024,845.311046395833
436,2023.0,6.0,16.0,15-02-2024,1264.8000791461402
437,2023.0,6.0,17.0,15-02-2024,1565.0126622080318
438,2023.0,6.0,18.0,15-02-2024,1216.492386723118
439,2023.0,6.0,19.0,15-02-2024,1320.7811143081713
440,2023.0,6.0,20.0,15-02-2024,1237.9767707674541
441,2023.0,6.0,21.0,15-02-2024,1065.8670828934771
442,2023.0,6.0,22.0,15-02-2024,1044.8822576474693
443,2023.0,6.0,23.0,15-02-2024,1357.6422317086633
444,2023.0,6.0,24.0,15-02-2024,1191.7619984373011
445,2023.0,6.0,25.0,15-02-2024,1475.561257758476
446,2023.0,6.0,26.0,15-02-2024,1025.4201598343784
447,2023.0,6.0,27.0,15-02-2024,1010.3157345019703
448,2023.0,6.0,28.0,15-02-2024,926.5398550540405
449,2023.0,6.0,29.0,15-02-2024,1023.3598321265357
450,2023.0,6.0,30.0,15-02-2024,1381.9488653426467
